track_name,mood_label
Beyond Memory,negative
I'll see you in 21 days,negative
I'll see you in 21 days,negative
To Speak Of Solitude,negative
Flight from the City - Víkingur Ólafsson Rework,negative
Substrates,negative
Tumbling Relentless Heaps,negative
Manium,negative
Le Ballet de L`Oubli,positive
Inmersion,negative
Find The Light Behind The Clouds,negative
